Record.ID,e,word,accuracy,cognate,diff
BUBA090,eng,asparagus,1,1,5
BUBA090,eng,compass,0,1,5
BUBA090,eng,latch,1,0,6
BUBA090,eng,tripod,0,1,6
BUBA090,eng,scroll,1,0,6
BUBA090,eng,tongs,1,0,6
BUBA090,eng,sphinx,1,1,6
BUBA090,eng,yoke,0,0,6
BUBA090,eng,trellis,1,0,6
BUBA090,eng,protractor,0,0,6
BUBA090,eng,abacus,1,1,6
BUBA091,eng,comb,0,0,1
BUBA091,eng,flower,0,1,1
BUBA091,eng,helicopter,0,1,2
BUBA091,eng,broom,0,0,2
BUBA091,eng,octopus,0,0,2
BUBA091,eng,mushroom,0,0,2
BUBA091,eng,hanger,0,0,2
BUBA091,eng,wheelchair,0,0,2
BUBA091,eng,camel,0,1,2
BUBA091,eng,mask,0,1,2
BUBA091,eng,racquet,0,1,3
BUBA091,eng,snail,0,0,3
BUBA091,eng,volcano,0,1,3
BUBA091,eng,seahorse,0,0,3
BUBA091,eng,dart,0,1,3
BUBA091,eng,canoe,0,1,3
BUBA091,eng,wreath,0,0,3
BUBA091,eng,beaver,0,0,3
BUBA091,eng,harmonica,0,1,3
BUBA091,eng,rhinoceros,0,1,4
BUBA091,eng,acorn,0,0,4
BUBA091,eng,igloo,0,1,4
BUBA091,eng,stilts,0,0,4
BUBA091,eng,dominos,0,1,4
BUBA091,eng,harp,0,1,4
BUBA091,eng,hammock,0,1,4
BUBA091,eng,knocker,0,0,4
BUBA091,eng,pyramid,0,1,5
BUBA091,eng,muzzle,0,0,5
BUBA091,eng,unicorn,0,1,5
BUBA091,eng,funnel,0,0,5
BUBA091,eng,accordion,0,1,5
BUBA091,eng,noose,0,0,5
BUBA091,eng,asparagus,0,1,5
BUBA091,eng,compass,0,1,5
BUBA091,eng,latch,0,0,6
BUBA091,eng,tripod,0,1,6
BUBA091,eng,scroll,0,0,6
BUBA091,eng,tongs,0,0,6
BUBA091,eng,sphinx,0,1,6
BUBA091,eng,yoke,0,0,6
BUBA091,eng,trellis,0,0,6
BUBA091,eng,protractor,0,0,6
BUBA091,eng,abacus,0,1,6
BUBA092,eng,comb,0,0,1
BUBA092,eng,flower,1,1,1
BUBA092,eng,helicopter,1,1,2
BUBA092,eng,broom,1,0,2
BUBA092,eng,octopus,0,0,2
BUBA092,eng,mushroom,1,0,2
BUBA092,eng,hanger,1,0,2
BUBA092,eng,wheelchair,1,0,2
BUBA092,eng,camel,1,1,2
BUBA092,eng,mask,1,1,2
BUBA092,eng,racquet,1,1,3
BUBA092,eng,snail,1,0,3
BUBA092,eng,volcano,0,1,3
BUBA092,eng,seahorse,1,0,3
BUBA092,eng,dart,0,1,3
BUBA092,eng,canoe,0,1,3
BUBA092,eng,wreath,0,0,3
BUBA092,eng,beaver,0,0,3
BUBA092,eng,harmonica,0,1,3
BUBA092,eng,rhinoceros,0,1,4
BUBA092,eng,acorn,0,0,4
BUBA092,eng,igloo,0,1,4
BUBA092,eng,stilts,0,0,4
